string_map_data__|,string_map_data__|__value
Date Range,Dec 26 - Mar 25
Content Interactions,"2,306"
Content Interactions Delta,+26.8% vs Sep 27 - Dec 25
Post Interactions,"1,251"
Post Interactions Delta,-8.7% vs Sep 27 - Dec 25
Post Likes,"1,040"
Post Comments,15
Post Shares,88
Post Saves,69
Story Interactions,18
Story Interactions Delta,-72.4% vs Sep 27 - Dec 25
Story Replies,6
Story Shares,12
Video Interactions,95
Video Interactions Delta,+20.2% vs Sep 27 - Dec 25
Video Likes,94
Video Shares,1
Live Video Interactions,0
Live Video Interactions Delta,0% vs Sep 27 - Dec 25
Accounts engaged,814
Accounts Engaged Delta,+11% vs Sep 27 - Dec 25
Engaged Account By Follow Type,"Followers: 505, Non-followers: 309"
You engaged delta% more accounts that werenât following you compared to previous period,+41% vs Sep 27 - Dec 25
Engaged Account Percentage by Age,"18-24: 73.8%, 25-34: 16.9%, 45-54: 3.2%, 13-17: 2.2%"
Engaged Account Percentage by City,"Davis: 63.8%, Sacramento: 2.8%, San Jose: 1.5%, San Francisco: 1%"
Engaged Account Percentage by Country,"United States: 94.7%, United Kingdom: 0.8%, India: 0.5%, Indonesia: 0.3%"
Engaged Account Percentage by Gender,"Men: 16.6%, Women: 83.3%"
